timestamp ,90%-threshold,95%-threshold,98%-threshold,z-score
30/01/15 00,0,0,0,1
30/01/15 01,0,0,0,0.62
30/01/15 02,0,0,0,0.18
30/01/15 03,0,0,0,-0.49
30/01/15 04,0,0,0,-0.46
30/01/15 05,0,0,0,-0.55
30/01/15 06,0,0,0,-0.55
30/01/15 07,0,0,0,-0.55
30/01/15 08,0,0,0,-0.52
30/01/15 09,0,0,0,-0.58
30/01/15 10,0,0,0,-0.49
30/01/15 11,0,0,0,-0.58
30/01/15 12,0,0,0,-0.58
30/01/15 13,0,0,0,-0.58
30/01/15 14,0,0,0,-0.24
30/01/15 15,0,0,0,-0.3
30/01/15 16,0,0,0,-0.55
30/01/15 17,0,0,0,0.08
30/01/15 18,0,0,0,2.05
30/01/15 19,0,0,0,2.05
30/01/15 20,0,0,0,3.13
30/01/15 21,0,0,0,4.27
30/01/15 22,0,0,0,2.21
30/01/15 23,0,0,0,1.83
31/01/15 00,0,0,0,1.64
31/01/15 01,0,0,0,0.18
31/01/15 02,0,0,0,-0.52
31/01/15 03,0,0,0,-0.52
31/01/15 04,0,0,0,-0.55
31/01/15 05,0,0,0,-0.55
31/01/15 06,0,0,0,-0.55
31/01/15 07,0,0,0,-0.55
31/01/15 08,0,0,0,-0.58
31/01/15 09,0,0,0,-0.52
31/01/15 10,0,0,0,-0.39
31/01/15 11,0,0,0,-0.55
31/01/15 12,0,0,0,-0.36
31/01/15 13,0,0,0,-0.33
31/01/15 14,0,0,0,0.3
31/01/15 15,0,0,0,0.56
31/01/15 16,0,0,0,0.68
31/01/15 17,0,0,0,-0.01
31/01/15 18,0,0,0,1.7
31/01/15 19,0,0,0,1.48
31/01/15 20,0,0,0,2.27
31/01/15 21,0,0,0,2.02
31/01/15 22,0,0,0,1.51
31/01/15 23,0,0,0,1.67
01/02/15 00,0,0,0,1.67
01/02/15 01,0,0,0,-0.2
01/02/15 02,0,0,0,-0.55
01/02/15 03,0,0,0,-0.55
01/02/15 04,0,0,0,-0.55
01/02/15 05,0,0,0,-0.58
01/02/15 06,0,0,0,-0.58
01/02/15 07,0,0,0,-0.58
