timestamp ,90%-threshold,95%-threshold,98%-threshold,z-score
27/01/15 00,0,0,0,-0.53
27/01/15 01,0,0,0,-0.4
27/01/15 02,0,0,0,-0.42
27/01/15 03,0,0,0,-0.51
27/01/15 04,0,0,0,-0.52
27/01/15 05,0,0,0,-0.45
27/01/15 06,0,0,0,-0.04
27/01/15 07,0,0,0,-0.14
27/01/15 08,0,0,0,0.82
27/01/15 09,0,0,0,-0.39
27/01/15 10,0,0,0,0.3
27/01/15 11,0,0,0,1.13
27/01/15 12,0,0,0,-0.32
27/01/15 13,0,0,0,-0.36
27/01/15 14,0,0,0,-0.53
27/01/15 15,0,0,0,-0.33
27/01/15 16,0,0,0,0.03
27/01/15 17,0,0,0,2.5
27/01/15 18,0,0,0,0.11
27/01/15 19,0,0,0,0.03
27/01/15 20,0,0,0,0.31
27/01/15 21,0,0,0,-0.08
27/01/15 22,0,0,0,-0.11
27/01/15 23,0,0,0,-0.56
28/01/15 00,0,0,0,-0.14
28/01/15 01,0,0,0,-0.27
28/01/15 02,0,0,0,-0.48
28/01/15 03,0,0,0,-0.52
28/01/15 04,0,0,0,-0.45
28/01/15 05,0,0,0,-0.37
28/01/15 06,0,0,0,-0.11
28/01/15 07,0,0,0,0.33
28/01/15 08,0,0,0,1.12
28/01/15 09,0,0,0,-0.15
28/01/15 10,0,0,0,-0.26
28/01/15 11,0,0,0,1.23
28/01/15 12,0,0,0,-0.36
28/01/15 13,0,0,0,-0.53
28/01/15 14,0,0,0,-0.51
28/01/15 15,0,0,0,-0.46
28/01/15 16,0,0,0,-0.36
28/01/15 17,0,0,0,2.72
28/01/15 18,0,0,0,1.28
28/01/15 19,0,0,0,0.4
28/01/15 20,0,0,0,0.57
28/01/15 21,0,0,0,0.14
28/01/15 22,0,0,0,0.11
28/01/15 23,0,0,0,-0.17
29/01/15 00,0,0,0,-0.15
29/01/15 01,0,0,0,-0.05
29/01/15 02,1,1,1,-0.29
29/01/15 03,0,0,0,-0.26
29/01/15 04,0,0,0,-0.36
29/01/15 05,0,0,0,-0.11
29/01/15 06,0,0,0,0.12
29/01/15 07,0,0,0,-0.17
29/01/15 08,0,0,0,1.13
29/01/15 09,0,0,0,0.34
29/01/15 10,0,0,0,0.24
29/01/15 11,0,0,0,-0.26
29/01/15 12,0,0,0,-0.29
29/01/15 13,0,0,0,-0.23
29/01/15 14,0,0,0,-0.2
29/01/15 15,0,0,0,-0.36
29/01/15 16,0,0,0,0.41
29/01/15 17,0,0,0,1.13
29/01/15 18,0,0,0,1.57
29/01/15 19,0,0,0,-0.32
29/01/15 20,0,0,0,-0.02
29/01/15 21,0,0,0,0.27
29/01/15 22,0,0,0,0.12
29/01/15 23,0,0,0,-0.46
30/01/15 00,1,1,1,-0.45
30/01/15 01,0,0,0,-0.46
30/01/15 02,0,0,0,-0.49
30/01/15 03,0,0,0,-0.43
30/01/15 04,0,0,0,-0.3
30/01/15 05,0,0,0,-0.3
30/01/15 06,0,0,0,0.17
30/01/15 07,0,0,0,0.75
30/01/15 08,0,0,0,1.3
30/01/15 09,0,0,0,-0.36
30/01/15 10,0,0,0,2.79
30/01/15 11,0,0,0,1.14
30/01/15 12,0,0,0,0.59
30/01/15 13,0,0,0,-0.04
30/01/15 14,0,0,0,-0.55
30/01/15 15,0,0,0,-0.56
30/01/15 16,0,0,0,-0.24
30/01/15 17,0,0,0,2.11
30/01/15 18,0,0,0,0.09
30/01/15 19,0,0,0,0.01
30/01/15 20,0,0,0,0.05
30/01/15 21,0,0,0,0.06
30/01/15 22,0,0,0,3.67
30/01/15 23,0,0,0,-0.27
31/01/15 00,0,0,0,-0.1
31/01/15 01,0,0,0,-0.15
31/01/15 02,0,0,0,-0.17
31/01/15 03,0,0,0,-0.14
31/01/15 04,0,0,0,-0.04
31/01/15 05,0,0,0,-0.07
31/01/15 06,0,0,0,-0.39
31/01/15 07,0,0,0,0.28
31/01/15 08,0,0,0,1.28
31/01/15 09,0,0,0,-0.23
31/01/15 10,0,0,0,2.91
31/01/15 11,0,0,0,1.23
31/01/15 12,0,0,0,-0.13
31/01/15 13,0,0,0,-0.32
31/01/15 14,0,0,0,-0.7
31/01/15 15,0,0,0,-0.4
31/01/15 16,0,0,0,0.21
31/01/15 17,0,0,0,3.03
31/01/15 18,0,0,0,2.6
31/01/15 19,0,0,0,0.52
31/01/15 20,0,0,0,0.69
31/01/15 21,0,0,0,0.18
31/01/15 22,0,0,0,-0.11
31/01/15 23,0,0,0,-0.18
01/02/15 00,0,0,0,-0.11
01/02/15 01,0,0,0,-0.27
01/02/15 02,0,0,0,-0.18
01/02/15 03,0,0,0,-0.01
01/02/15 04,0,0,0,-0.34
01/02/15 05,0,0,0,-0.32
01/02/15 06,0,0,0,-0.45
01/02/15 07,0,0,0,-0.42
01/02/15 08,0,0,0,1.25
01/02/15 09,0,0,0,0.56
01/02/15 10,0,0,0,0.37
01/02/15 11,0,0,0,0.57
01/02/15 12,0,0,0,0.02
01/02/15 13,0,0,0,-0.58
01/02/15 14,0,0,0,-0.52
01/02/15 15,0,0,0,-0.3
01/02/15 16,0,0,0,2.37
01/02/15 17,0,0,0,6.71
01/02/15 18,0,0,0,0.88
01/02/15 19,0,0,0,0.69
01/02/15 20,0,0,0,0.87
01/02/15 21,0,0,0,0.27
01/02/15 22,0,0,0,0.14
01/02/15 23,0,0,0,-0.11
02/02/15 00,0,0,0,-0.08
02/02/15 01,0,0,0,-0.1
02/02/15 02,0,0,0,-0.13
02/02/15 03,0,0,0,0.06
02/02/15 04,0,0,0,-0.17
02/02/15 05,0,0,0,0.08
02/02/15 06,0,0,0,-0.1
02/02/15 07,0,0,0,0.37
02/02/15 08,0,0,0,1.04
02/02/15 09,0,0,0,-0.39
02/02/15 10,0,0,0,-0.43
02/02/15 11,0,0,0,-0.4
02/02/15 12,0,0,0,-0.45
02/02/15 13,0,0,0,-0.34
02/02/15 14,0,0,0,-0.52
02/02/15 15,0,0,0,-0.43
02/02/15 16,0,0,0,1.33
02/02/15 17,0,0,0,0.88
02/02/15 18,0,0,0,1.87
02/02/15 19,0,0,0,5.39
02/02/15 20,0,0,0,3.3
02/02/15 21,0,0,0,0.44
02/02/15 22,0,0,0,0.3
02/02/15 23,0,0,0,-0.26
03/02/15 00,0,0,0,-0.17
03/02/15 01,0,0,0,-0.2
03/02/15 02,0,0,0,-0.1
03/02/15 03,0,0,0,-0.18
03/02/15 04,0,0,0,0.11
03/02/15 05,0,0,0,0.01
03/02/15 06,0,0,0,0.12
03/02/15 07,0,0,0,-0.33
03/02/15 08,0,0,0,0.63
03/02/15 09,0,0,0,-0.37
03/02/15 10,0,0,0,-0.26
03/02/15 11,0,0,0,0.41
03/02/15 12,0,0,0,-0.36
03/02/15 13,0,0,0,-0.74
03/02/15 14,0,0,0,-0.83
03/02/15 15,0,0,0,-0.78
03/02/15 16,0,0,0,-0.39
03/02/15 17,0,0,0,2.17
03/02/15 18,0,0,0,0.11
03/02/15 19,0,0,0,0.22
03/02/15 20,0,0,0,0.31
03/02/15 21,0,0,0,-0.24
03/02/15 22,0,0,0,-0.39
03/02/15 23,0,0,0,-0.7
04/02/15 00,0,0,0,-0.68
04/02/15 01,0,0,0,-0.46
